NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;ANO_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO;TIPO_PRODUTO
BUSCOPAN COMPOSTO;20/08/1978;1978;NOVO;103670013;01/08/2029;25992010906;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
BI-NERISONA;12/09/1978;1978;NOVO;100200011;01/02/2013;25992035493;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;56990534000167 - SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PEN-VE-ORAL;11/10/1978;1978;NOVO;100430685;01/10/2028;25992012156;FENOXIPENICILINAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;FENOXIMETILPENICILINA;MEDICAMENTO
SILOMAT PLUS;08/12/1978;1978;NOVO;103670158;01/12/2008;25351125612;ANTITUSSIGENOS-ASSOCIACOES MEDICAMENTOSAS;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
LACRIL;25/01/1979;1979;NOVO;101470161;01/01/2029;25992026043;EMOLIENTES E PROTETORES OFTALMICOS;43426626000177 - ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;VÁLIDO;ÁLCOOL POLIVINÍLICO;MEDICAMENTO
DIPROSALIC;01/03/1979;1979;NOVO;100930242;01/03/2014;25000005416;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
SABONETE MEDICINAL PELOTENSE;26/03/1979;1979;NOVO;10570004;01/03/2004;25001015033;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;92782317000145 - LABORATORIO QUIMSUL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
RILAN;05/06/1979;1979;NOVO;105500068;01/06/2029;25992023167;ANTIALERGICOS TOPICOS;48396378000182 - UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;VÁLIDO;CROMOGLICATO DISSODICO;MEDICAMENTO
AURIS-SEDINA;05/09/1979;1979;NOVO;105040001;01/10/2029;25992001799;REMOVEDORES DE SECRECAO DO CONDUTO AUDITIVO EXTERNO;19791813000175 - LABORATÓRIOS OSÓRIO DE MORAES LTDA;VÁLIDO;FENOL +  MENTOL;MEDICAMENTO
AFRIN;26/09/1979;1979;NOVO;100930004;01/10/2014;25000004739;DESCONGESTIONANTES NASAIS TOPICOS;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
ASSA PEIXE COMPOSTO;16/10/1979;1979;NOVO;137070029;01/10/2004;25991005969;PRODUTOS NATURAIS ASSOCIADOS;02007074000185 - FLORA MEDICINAL J. MONTEIRO DA SILVA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SPOROSTATIN;31/10/1979;1979;NOVO;101;01/10/2009;25992010669;ANTIMICOTICOS SISTEMICOS;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
TALSUTIN;06/12/1979;1979;NOVO;101800073;01/03/2014;25992013711;ANTIMICOTICO;56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PONDICILINA;11/12/1979;1979;NOVO;106390203;01/08/2010;25992004130;ANTISSEPTICO;60397775000174 - TAKEDA PHARMA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
Ginedak;22/01/1980;1980;NOVO;101710063;01/10/2004;25992028735;PRODUTOS GINECOLOGICOS TOPICOS;03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
NERISONA;05/02/1980;1980;NOVO;100200028;01/12/2011;25992025093;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;56990534000167 - SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BALSODERMA;12/02/1980;1980;NOVO;108170007;01/10/2004;25992001848;ANTIMICOTICOS PARA USO TOPICO;33109356000117 - CASA GRANADO LABORATÓRIOS, FARMÁCIAS E DROGARIAS S/A;CADUCO/CANCELADO;;MEDICAMENTO
DALACIN T;28/03/1980;1980;NOVO;12389000;01/03/2005;25991002900;PRODUTOS ANTI-ACNE;71699490000104 - PHARMACIA BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
Becantex + Associações;06/05/1980;1980;NOVO;100020026;01/05/2005;25001001431;ANTITUSSIGENOS-ASSOCIACOES MEDICAMENTOSAS;29322013000169 - LABORATÓRIO  SEDABEL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PROCTOSAN;09/05/1980;1980;NOVO;106890036;01/12/2009;25991003888;ANTI-HEMORROIDARIOS TOPICOS;92695691000103 - KLEY HERTZ FARMACEUTICA S.A;CADUCO/CANCELADO;;MEDICAMENTO
FARLUTAL;20/05/1980;1980;NOVO;123890085;01/08/2006;25001000224;PROGESTAGENOS SIMPLES;71699490000104 - PHARMACIA BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
UNO-CICLO;26/05/1980;1980;NOVO;100630123;01/05/2010;25991004487;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS;33258401000103 - INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
NIKKHO-VAC;29/05/1980;1980;NOVO;100140048;01/05/2005;25992007250;ALERGENOS;33517558000106 - QUIMICA FARMACEUTICA NIKKHO DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BUKRU KRAEMER;19/06/1980;1980;NOVO;105070030;01/01/2022;25991005858;;92695816000103 - LABORATORIO KRAEMER LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PIPUROL;25/06/1980;1980;NOVO;100840051;01/12/2014;25001006090;PRODUTOS PARA VIAS URINARIAS;61100004000136 - ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
MEGESTAT;24/10/1980;1980;NOVO;101800142;01/04/2020;25991013172;ANTINEOPLASICO;56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DIMETAPP EXPECTORANTE;06/08/1981;1981;NOVO;121100270;01/08/2021;25351126292;EXPECTORANTES BALSAMICOS E MUCOLITICO;61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
POLVILHO ANTISSÉPTICO GRANADO;08/10/1981;1981;NOVO;108170030;01/10/2026;25001001984;ANTISSEPTICO;33109356000117 - CASA GRANADO LABORATÓRIOS, FARMÁCIAS E DROGARIAS S/A;VÁLIDO;ENXOFRE +  ÁCIDO BÓRICO +  ÁCIDO SALICÍLICO +  ÓXIDO DE ZINCO;MEDICAMENTO
Amargol;19/08/1982;1982;NOVO;105700032;01/08/2007;25991003317;FITOTERAPICO COMPOSTO;92782317000145 - LABORATORIO QUIMSUL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ESTANDRON P;17/02/1983;1983;NOVO;101710187;01/02/2013;25992010789;ANDROGENOS-ASSOCIACOES MEDICAMENTOSAS;03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
CICLOVULON;20/04/1983;1983;NOVO;107140241;01/04/2008;25000012252;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;61068755000112 - SANVAL COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ANCORON;15/08/1983;1983;NOVO;100330162;01/08/2028;25351568758;ANTIARRITMICOS;61230314000175 - LIBBS FARMACÊUTICA LTDA;VÁLIDO;CLORIDRATO DE AMIODARONA;MEDICAMENTO
ARELIX;19/02/1984;1984;NOVO;113000021;01/12/2014;25001016245;ANTI-HIPERTENSIVOS SIMPLES;02685377000157 - SANOFI-AVENTIS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORANA;04/05/1984;1984;NOVO;120330013;01/03/2014;25992011352;DIURETICOS;61099966000112 - SANOFI - SYNTHELABO FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
COBAVITAL;10/07/1984;1984;NOVO;100820009;01/10/2014;25001001950;ESTIMULANTES DO APETITE;60499639000195 - ABBOTT PRODUTOS PARA SAÚDE LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
DIVIDOL;26/08/1984;1984;NOVO;100840020;01/08/2029;25992010969;ANALGESICOS NAO NARCOTICOS;61100004000136 - ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.;VÁLIDO;HIDROXIBENZOATO DE VIMINOL;MEDICAMENTO
Canesten;03/09/1984;1984;NOVO;104290013;01/11/2013;25992003930;ANTIMICOTICOS PARA USO TOPICO;14372981000102 - BAYER S.A.;CADUCO/CANCELADO;;MEDICAMENTO
DELTACID;19/10/1984;1984;NOVO;100820069;01/10/2014;25004009643;ESCABICIDAS E OUTROS ECTOPARASITICIDAS;60499639000195 - ABBOTT PRODUTOS PARA SAÚDE LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
AMENOFLORA;22/10/1984;1984;NOVO;137070025;01/02/2003;25992005058;FITOTERAPICO COMPOSTO;02007074000185 - FLORA MEDICINAL J. MONTEIRO DA SILVA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
GARAMICINA;14/11/1984;1984;NOVO;100930046;01/08/2016;25992016223;ANTINFECCIOSOS;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CESTOX;13/12/1984;1984;NOVO;100890012;01/03/2019;25991005267;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;33069212000184 - MERCK S/A;CADUCO/CANCELADO;;MEDICAMENTO
SARIDON;13/12/1984;1984;NOVO;101000078;01/10/2009;25992006683;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
BENZIFLEX;01/03/1985;1985;NOVO;102350329;01/03/1995;25001007918;PRODUTOS PARA OROFARINGE;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
FORANE;11/03/1985;1985;NOVO;105530156;01/03/2015;25991003954;ANESTESICOS GERAIS VOLATEIS E GASOSOS;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
LEVOCARNIN;11/03/1985;1985;NOVO;100820073;01/03/2005;25001012064;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;60499639000195 - ABBOTT PRODUTOS PARA SAÚDE LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
LIQUEMINE;10/07/1985;1985;NOVO;101000048;01/10/2009;25992017161;ANTICOAGULANTES;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CLORETO DE SÓDIO 0,9%;19/11/1986;1986;NOVO;113440004;01/11/2006;25016000550;ELETROLITOS SIMPLES;07643687000122 - ENDOMED LABORATORIO FARMACEUTICO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CALAMINA + CLORIDRATO DE DINEFIDRAMINA + CANFORA;04/02/1987;1987;NOVO;109220101;01/02/2002;25001007499;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;28643633000137 - H B FARMA LABORATÓRIOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PÓ PELOTENSE;04/02/1987;1987;NOVO;105700013;01/03/2010;25001011579;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;92782317000145 - LABORATORIO QUIMSUL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SEMAP;08/10/1987;1987;NOVO;112360018;01/10/2009;25992002601;NEUROLEPTICOS;51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
VASOLIS;08/10/1987;1987;NOVO;102350306;01/10/2007;25001001454;ANTICOAGULANTES;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
ACTILYSE;09/03/1988;1988;NOVO;103670049;01/03/2028;25001003007;ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;VÁLIDO;ALTEPLASE;MEDICAMENTO
BIOHULIN U;09/03/1988;1988;NOVO;105740016;01/03/2008;25001002452;ANTIDIABETICOS;16921603000166 - NOVO NORDISK PRODUÇÃO FARMACÊUTICA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DUOVENT;09/03/1988;1988;NOVO;103670050;01/03/2028;25001003636;BRONCODILATADORES;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;VÁLIDO;BROMETO DE IPRATRÓPIO +  BROMIDRATO DE FENOTEROL;MEDICAMENTO
STILAMIN;09/03/1988;1988;NOVO;111240181;01/03/2018;25001012804;ANTI-HEMORRAGICOS;27944313000154 - SERONO PRODUTOS FARMACÊUTICOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ULTRAPROCT;30/03/1988;1988;NOVO;100200047;01/06/2008;25992016768;ANTI-HEMORROIDARIOS TOPICOS;56990534000167 - SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
AZACTAM;09/05/1988;1988;NOVO;101800100;01/05/2013;25001003621;ANTIBIOTICOS SISTEMICOS SIMPLES;56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
mevacor;09/05/1988;1988;NOVO;100290006;01/05/2008;25000001907;ANTILIPEMICOS;45987013000134 - ORGANON FARMACÊUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
Baypress;25/07/1988;1988;NOVO;104290058;01/07/2008;25001009550;ANTI-HIPERTENSIVOS SIMPLES;14372981000102 - BAYER S.A.;CADUCO/CANCELADO;;MEDICAMENTO
TARGOCID;25/07/1988;1988;NOVO;113000171;01/07/2023;25000001070;ANTIBIOTICOS SISTEMICOS SIMPLES;02685377000157 - SANOFI-AVENTIS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
VECTARION;25/07/1988;1988;NOVO;112780001;01/07/2018;25001013106;ESTIMULANTES RESPIRATORIOS;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BETNOVATE N;24/10/1988;1988;NOVO;100250038;01/10/2009;25992003520;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;33172560000182 - GLAXO WELLCOME S/A;CADUCO/CANCELADO;;MEDICAMENTO
CLAVULIN;19/12/1988;1988;NOVO;101070076;01/08/2027;25991002612;ANTIBIOTICOS SISTEM -ASSOC  MEDIC  ENTRE ANTINFEC;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;VÁLIDO;AMOCIXILINA TRIHIDRATADA +  AMOXICILINA TRI-HIDRATADA +  AMOXICILINA TRIHIDRATADA +  CLAVULANATO DE POTÁSSIO +  ÁCIDO CLAVULÂNICO;MEDICAMENTO
ASALIT;27/05/1989;1989;NOVO;100890168;01/10/2029;25001002387;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;33069212000184 - MERCK S/A;CADUCO/CANCELADO;;MEDICAMENTO
Mobilisin Composto;30/08/1989;1989;NOVO;104540019;01/08/2009;25992014482;ANTINFLAMATORIOS ANTIREUMATICOS;60874187000184 - DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BACTROBAN;13/10/1989;1989;NOVO;101070078;01/10/2029;25001015603;ANTINFECCIOSOS TOPICOS;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;VÁLIDO;MUPIROCINA;MEDICAMENTO
CARTRAX;13/10/1989;1989;NOVO;102160047;01/10/2019;25000004170;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;46070868003699 - LABORATÓRIOS PFIZER LTDA;CADUCO/CANCELADO;;MEDICAMENTO
NEOSULIN REGULAR;13/10/1989;1989;NOVO;105740003;01/11/2008;25001010807;ANTIDIABETICOS;16921603000166 - NOVO NORDISK PRODUÇÃO FARMACÊUTICA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
AURORIX;26/10/1989;1989;NOVO;101000149;01/10/2019;25000002840;ANTIDEPRESSIVOS;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
COLPOTROFINE;26/10/1989;1989;NOVO;106390153;01/10/2009;25001004032;ESTROGENOS SIMPLES;60397775000174 - TAKEDA PHARMA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
PASSIFURIL;30/10/1989;1989;NOVO;103970025;01/10/2019;25992011956;NITROFURANICOS;33388182000179 - PRODUTOS FARMACÊUTICOS MILLET ROUX;CADUCO/CANCELADO;;MEDICAMENTO
SINOLINA;30/10/1989;1989;NOVO;105070017;01/10/2004;25992005369;PRODUTOS NATURAIS ASSOCIADOS;92695816000103 - LABORATORIO KRAEMER LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TÔNICO SALVOL;30/10/1989;1989;NOVO;105070019;01/10/2004;25992009187;PRODUTOS NATURAIS ASSOCIADOS;92695816000103 - LABORATORIO KRAEMER LTDA;CADUCO/CANCELADO;;MEDICAMENTO
URGAMOL;30/10/1989;1989;NOVO;105070020;01/10/2009;25992001132;ANTIESPASMODICOS + FITOTERAPICOS ASSOCIADOS + PRODUTOS COM ACAO UTERINA EXCLUSIVE PROTAGLANDINAS;92695816000103 - LABORATORIO KRAEMER LTDA;CADUCO/CANCELADO;;MEDICAMENTO
VENALOT H;30/10/1989;1989;NOVO;106390118;01/03/2020;25991002184;ANTIVARICOSOS TOPICOS;60397775000174 - TAKEDA PHARMA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
TENORETIC;21/11/1989;1989;NOVO;116180027;01/08/2018;25991012966;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
INFECTRIN;04/12/1989;1989;NOVO;103670072;01/09/2020;25992010825;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
PERLUTAN;04/12/1989;1989;NOVO;103670085;01/09/2019;25001013137;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
RHINAAXIA;12/12/1989;1989;NOVO;101470100;01/12/2014;25000009160;ANTIALERGICOS TOPICOS;43426626000177 - ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
POMADA MINANCORA;31/12/1989;1989;NOVO;106900003;01/12/2029;25992000202;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;84683382000195 - MINÂNCORA & CIA LTDA;VÁLIDO;CLORETO DE BENZALCÔNIO +  CÂNFORA +  ÓXIDO DE ZINCO;MEDICAMENTO
NORTREL;04/01/1990;1990;NOVO;116170045;01/07/2008;25001001412;PROGESTAGENOS SIMPLES;59791178000140 - LABORATORIOS WYETH LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DICETEL;21/02/1990;1990;NOVO;106390163;01/02/2005;25001006361;ANTIESPASMODICOS;60397775000840 - TAKEDA PHARMA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
DIPROSPAN;28/06/1990;1990;NOVO;100930034;01/06/2015;25992005136;GLICOCORTICOIDES SISTEMICOS;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
OTURGA;28/08/1990;1990;NOVO;105830108;01/08/2005;25992010560;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;45992062000165 - GERMED FARMACEUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
LANEXAT;26/10/1990;1990;NOVO;101000148;01/10/2019;25001004873;ANTAGONISTA DE BENZODIAZEPINAS;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
QUADRIDERM;27/11/1990;1990;NOVO;100930091;01/04/2014;25000000203;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
MALVATRICIN;30/11/1990;1990;NOVO;101430024;01/10/2029;25992008964;DEMULCENTES E OUTROS MEDS. USO ORAL P/ TRATAM. OROFARINGE;33026055000120 - MEGALABS FARMACEUTICA S.A.;VÁLIDO;CLORIDRATO DE LIDOCAINA +  QUINOSOL +  TIROTRICINA;MEDICAMENTO
BUSPAR;28/12/1990;1990;NOVO;101800012;01/04/2011;25001013754;ANSIOLITICOS SIMPLES;56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DERMODEX POMADA;28/12/1990;1990;NOVO;101800014;01/03/2017;25992014344;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ISKEMIL;31/12/1990;1990;NOVO;105730032;01/10/2029;25992002577;VASODILATADORES;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VÁLIDO;MESILATO DE DIIDROERGOCRISTINA;MEDICAMENTO
GARASONE;08/01/1991;1991;NOVO;100930047;01/05/2018;25992025647;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
TERRAMICINA;19/02/1991;1991;NOVO;102160025;01/02/2018;25992006125;CLASSE DAS TETRACICLINAS;46070868003699 - LABORATÓRIOS PFIZER LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PANTOMICINA;08/03/1991;1991;NOVO;105530048;01/09/2009;25992004536;MACROLIDEOS;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
EMISTIN;03/04/1991;1991;NOVO;102350086;01/08/2029;25992008341;ANTI-HISTAMINICOS SISTEMICOS;57507378000365 - EMS S/A;VÁLIDO;ACETATO DE DEXAMETASONA +  DEXAMETASONA +  FUMARATO DE CLEMASTINA;MEDICAMENTO
BETNOVATE Q;07/06/1991;1991;NOVO;100250039;01/07/2005;25992003526;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;33172560000182 - GLAXO WELLCOME S/A;CADUCO/CANCELADO;;MEDICAMENTO
QUESTRAN LIGHT;01/07/1991;1991;NOVO;101800109;01/10/2022;25991010310;ANTILIPEMICOS;56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
Novolin 80/20;04/09/1991;1991;NOVO;117660001;01/10/2009;25000007014;ANTIDIABETICOS;82277955000155 - NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
