NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;ANO_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO;TIPO_PRODUTO
ampicilina;03/02/2000;2000;GENÉRICO;102350431;01/02/2025;25000054569;PENICILINA DE AMPLO ESPECTRO;57507378000365 - EMS S/A;VÁLIDO;AMPICILINA +  AMPICILINA TRI-HIDRATADA;MEDICAMENTO
CLARITROMICINA;18/02/2000;2000;GENÉRICO;101810328;01/02/2020;25351000170;MACROLIDEOS;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE METOCLOPRAMIDA;18/02/2000;2000;GENÉRICO;103700281;01/02/2030;25351000739;ANTIEMETICOS E ANTINAUSEANTES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO;MEDICAMENTO
OXACILINA SODICA;18/02/2000;2000;GENÉRICO;103700282;01/02/2025;25351000740;ANTIBIOTICOS SISTEMICOS SIMPLES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;OXACILINA SÓDICA;MEDICAMENTO
cloridrato de lincomicina;18/02/2000;2000;GENÉRICO;103700283;01/02/2025;25351000313;ANTIBIOTICOS SISTEMICOS SIMPLES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;CLORIDRATO DE LINCOMICINA;MEDICAMENTO
DEXAMETASONA;03/03/2000;2000;GENÉRICO;103700284;01/03/2030;25351000011;GLICOCORTICOIDES SISTEMICOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;DEXAMETASONA;MEDICAMENTO
aminofilina;03/03/2000;2000;GENÉRICO;103700286;01/03/2025;25351001130;BRONCODILATADORES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;AMINOFILINA;MEDICAMENTO
cimetidina;03/03/2000;2000;GENÉRICO;103700285;01/03/2030;25351000314;ANTIULCEROSOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;CIMETIDINA;MEDICAMENTO
ceftriaxona dissódica hemieptaidratada;13/03/2000;2000;GENÉRICO;100430706;01/03/2025;25351001427;CEFALOSPORINAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA;MEDICAMENTO
CLORIDRATO DE VERAPAMIL;21/03/2000;2000;GENÉRICO;105530286;01/03/2015;25351002043;ANTIANGINOSOS E VASODILATADORES;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
FOSFATO DISSODICO DE DEXAMETASONA;21/03/2000;2000;GENÉRICO;103700287;01/03/2025;25000001614;GLICOCORTICOIDES SISTEMICOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;FOSFATO DISSÓDICO DE DEXAMETASONA;MEDICAMENTO
BUTILBROMETO DE ESCOPOLAMINA;23/03/2000;2000;GENÉRICO;103700288;01/03/2025;25351002931;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;BUTILBROMETO DE ESCOPOLAMINA;MEDICAMENTO
CEFOTAXIMA SODICA;23/03/2000;2000;GENÉRICO;100430708;01/03/2005;25351002429;CEFALOSPORINAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CEFOXITINA SODICA;23/03/2000;2000;GENÉRICO;100430707;01/03/2010;25351002428;PENICILINAS PENICILINASE-RESISTENTES;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
ACICLOVIR;31/03/2000;2000;GENÉRICO;101160171;01/03/2005;25351002044;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);33258450000138 - KNOLL PRODUTOS QUIMICOS E FARMACEUTICOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ALBENDAZOL;31/03/2000;2000;GENÉRICO;105530258;01/03/2005;25351002040;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;33258450000138 - KNOLL PRODUTOS QUIMICOS E FARMACEUTICOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE VANCOMICINA;31/03/2000;2000;GENÉRICO;100430709;01/03/2020;25351002227;ANTIBIOTICOS SISTEMICOS SIMPLES;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
DIMETICONA;31/03/2000;2000;GENÉRICO;105530279;01/03/2010;25351003635;ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SULFATO DE SALBUTAMOL;31/03/2000;2000;GENÉRICO;104650250;01/03/2015;25351003631;BRONCODILATADORES;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE AMBROXOL;02/04/2000;2000;GENÉRICO;105530260;01/03/2010;25351002041;EXPECTORANTES BALSAMICOS E MUCOLITICO;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE AMBROXOL;06/04/2000;2000;GENÉRICO;105530284;01/03/2010;25351002042;EXPECTORANTES BALSAMICOS E MUCOLITICO;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;VÁLIDO;CLORIDRATO DE AMBROXOL;MEDICAMENTO
NITRATO DE MICONAZOL;14/04/2000;2000;GENÉRICO;103700296;01/04/2030;25351004616;ANTIMICOTICOS PARA USO TOPICO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;NITRATO DE MICONAZOL;MEDICAMENTO
SULFATO DE AMICACINA;14/04/2000;2000;GENÉRICO;103700297;01/04/2025;25351002930;AMINOGLICOSIDEOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;SULFATO DE AMICACINA;MEDICAMENTO
ceftriaxona dissódica hemieptaidratada;14/04/2000;2000;GENÉRICO;100430710;01/04/2025;25351004625;CEFALOSPORINAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA;MEDICAMENTO
ACICLOVIR;20/04/2000;2000;GENÉRICO;103700300;01/04/2015;25351005451;ANTIVIROTICOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;CADUCO/CANCELADO;;MEDICAMENTO
AMPICILINA SÓDICA;20/04/2000;2000;GENÉRICO;103700299;01/04/2030;25351000519;PENICILINA DE AMPLO ESPECTRO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;AMPICILINA SÓDICA;MEDICAMENTO
CLORIDRATO DE RANITIDINA;20/04/2000;2000;GENÉRICO;102350439;01/04/2015;25351018821;ANTIULCEROSOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
DIPIRONA SÓDICA;20/04/2000;2000;GENÉRICO;102350435;01/04/2020;25000054572;ANALGESICOS NAO NARCOTICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
FUROSEMIDA;20/04/2000;2000;GENÉRICO;102350436;01/04/2005;25000054574;DIURETICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
MEBENDAZOL;20/04/2000;2000;GENÉRICO;105530287;01/04/2010;25351005564;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;VÁLIDO;MEBENDAZOL;MEDICAMENTO
METRONIDAZOL;20/04/2000;2000;GENÉRICO;102350434;01/04/2015;25000001894;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
NISTATINA;20/04/2000;2000;GENÉRICO;102350433;01/04/2020;25000001893;ANTIMICOTICO;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
SULFATO DE GENTAMICINA;20/04/2000;2000;GENÉRICO;102350437;01/04/2005;25000054578;AMINOGLICOSIDEOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
SULFATO DE SALBUTAMOL;20/04/2000;2000;GENÉRICO;102350438;01/04/2015;25000054573;BRONCODILATADORES;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
cefalotina sódica;20/04/2000;2000;GENÉRICO;103700298;01/04/2025;25351002877;CEFALOSPORINAS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;CEFALOTINA SÓDICA TAMPONADA;MEDICAMENTO
ACICLOVIR;02/05/2000;2000;GENÉRICO;102350441;01/04/2020;25351000223;ANTIVIROTICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL;02/05/2000;2000;GENÉRICO;102350442;01/04/2025;25000054575;ANTIMICOTICO;57507378000365 - EMS S/A;VÁLIDO;CETOCONAZOL;MEDICAMENTO
CLORIDRATO DE DOPAMINA;02/05/2000;2000;GENÉRICO;100430711;01/05/2005;25351005720;VASOCONSTRITORES E HIPERTENSORES;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CLOTRIMAZOL;02/05/2000;2000;GENÉRICO;102350440;01/04/2025;25351005637;ANTIMICOTICOS PARA USO TOPICO;57507378000365 - EMS S/A;VÁLIDO;CLOTRIMAZOL;MEDICAMENTO
FOSFATO  DISSODICO DE DEXAMETASONA;02/05/2000;2000;GENÉRICO;102350443;01/04/2005;25000054571;GLICOCORTICOIDES SISTEMICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
FOSFATO DISSODICO DE DEXAMETASONA;02/05/2000;2000;GENÉRICO;100430712;01/05/2005;25351005213;GLICOCORTICOIDES SISTEMICOS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
ALBENDAZOL;05/05/2000;2000;GENÉRICO;104650261;01/05/2010;25351007082;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DICLOFENACO SÓDICO;05/05/2000;2000;GENÉRICO;102350444;01/05/2005;25351006757;ANTINFLAMATORIOS ANTIREUMATICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
DIPIRONA SÓDICA;05/05/2000;2000;GENÉRICO;104650262;01/05/2015;25351007085;ANALGESICOS NAO NARCOTICOS;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MEBENDAZOL;05/05/2000;2000;GENÉRICO;103700301;01/05/2015;25351006253;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;CADUCO/CANCELADO;;MEDICAMENTO
OXACILINA SÓDICA;05/05/2000;2000;GENÉRICO;100430713;01/05/2020;25351005721;PENICILINAS PENICILINASE-RESISTENTES;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
ALBENDAZOL;15/05/2000;2000;GENÉRICO;102940090;01/05/2010;25351007092;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;61541132000115 - NEOLATINA COMÉRCIO E INDÚSTRIA FARMACEUTICA S.A;CADUCO/CANCELADO;;MEDICAMENTO
DIPIRONA SÓDICA;15/05/2000;2000;GENÉRICO;104650263;01/05/2015;25351007519;ANALGESICOS NAO NARCOTICOS;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DIPIRONA SÓDICA SOLUÇÃO INJETÁVEL;15/05/2000;2000;GENÉRICO;102940089;01/05/2010;25351007096;ANALGESICOS NAO NARCOTICOS;61541132000115 - NEOLATINA COMÉRCIO E INDÚSTRIA FARMACEUTICA S.A;CADUCO/CANCELADO;;MEDICAMENTO
DIPIRONA SÓDICA SOLUÇÃO ORAL;15/05/2000;2000;GENÉRICO;102940088;01/05/2010;25351007094;ANALGESICOS NAO NARCOTICOS;61541132000115 - NEOLATINA COMÉRCIO E INDÚSTRIA FARMACEUTICA S.A;CADUCO/CANCELADO;;MEDICAMENTO
MEBENDAZOL;15/05/2000;2000;GENÉRICO;103700302;01/05/2015;25351007052;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;CADUCO/CANCELADO;;MEDICAMENTO
AMINOFILINA;19/05/2000;2000;GENÉRICO;102350448;01/05/2005;25351007832;BRONCODILATADORES;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE LINCOMICINA;19/05/2000;2000;GENÉRICO;102350449;01/05/2005;25351008176;ANTIBIOTICOS SISTEMICOS SIMPLES;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE METOCLOPRAMIDA;19/05/2000;2000;GENÉRICO;102350447;01/05/2005;25351007734;ANTIEMETICOS E ANTINAUSEANTES;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
DIPIRONA;19/05/2000;2000;GENÉRICO;101160174;01/05/2005;25351005563;ANALGESICOS NAO NARCOTICOS;33258450000138 - KNOLL PRODUTOS QUIMICOS E FARMACEUTICOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
METRONIDAZOL;19/05/2000;2000;GENÉRICO;103700303;01/05/2020;25351007964;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;CADUCO/CANCELADO;;MEDICAMENTO
NITRATO DE MICONAZOL;19/05/2000;2000;GENÉRICO;103700304;01/05/2025;25351005452;ANTIMICOTICOS PARA USO TOPICO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;NITRATO DE MICONAZOL;MEDICAMENTO
SULFATO DE AMICACINA;19/05/2000;2000;GENÉRICO;102350446;01/05/2005;25351007994;AMINOGLICOSIDEOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CEFALOTINA SODICA;29/05/2000;2000;GENÉRICO;102350445;01/05/2015;25351007735;CEFALOSPORINAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CEFTRIAXONA SODICA;29/05/2000;2000;GENÉRICO;102350450;01/05/2025;25351008453;CEFALOSPORINAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
DIAZEPAM (Port. 344 - Lista B1);29/05/2000;2000;GENÉRICO;105830231;01/05/2015;25000054568;ANSIOLITICOS SIMPLES;45992062000165 - GERMED FARMACEUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DICLOFENACO SÓDICO;29/05/2000;2000;GENÉRICO;102940091;01/05/2010;25351007871;ANTINFLAMATORIOS;61541132000115 - NEOLATINA COMÉRCIO E INDÚSTRIA FARMACEUTICA S.A;CADUCO/CANCELADO;;MEDICAMENTO
NISTATINA;05/06/2000;2000;GENÉRICO;103700305;01/06/2025;25351008540;ANTIMICOTICO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;NISTATINA;MEDICAMENTO
DICLOFENACO SODICO;09/06/2000;2000;GENÉRICO;104650270;01/06/2010;25351007870;ANTINFLAMATORIOS;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DICLOFENACO SÓDICO;09/06/2000;2000;GENÉRICO;103700306;01/06/2025;25351009757;ANTINFLAMATORIOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;DICLOFENACO SÓDICO;MEDICAMENTO
DIPIRONA SODICA;09/06/2000;2000;GENÉRICO;103700307;01/06/2025;25351010237;ANALGESICOS NAO NARCOTICOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;DIPIRONA;MEDICAMENTO
SULFATO DE AMICACINA;09/06/2000;2000;GENÉRICO;100430718;01/06/2015;25351007792;AMINOGLICOSIDEOS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CETOPROFENO IM;19/06/2000;2000;GENÉRICO;100430719;01/06/2010;25351008731;ANTINFLAMATORIOS ANTIREUMATICOS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE CIMETIDINA;19/06/2000;2000;GENÉRICO;102350452;01/06/2005;25351008855;ANTIACIDOS E ANTIULCEROSOS SIMPLES;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
MALEATO DE DEXCLORFENIRAMINA;19/06/2000;2000;GENÉRICO;103700309;01/06/2025;25351010238;ANTI-HISTAMINICOS SISTEMICOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;MALEATO DE DEXCLORFENIRAMINA;MEDICAMENTO
PARACETAMOL;19/06/2000;2000;GENÉRICO;103700308;01/06/2020;25351009931;ANALGESICOS NAO NARCOTICOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE LINCOMICINA;03/07/2000;2000;GENÉRICO;104650285;01/07/2010;25351010286;ANTIBIOTICOS SISTEMICOS SIMPLES;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MEBENDAZOL;03/07/2000;2000;GENÉRICO;104650284;01/07/2010;25351012369;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SUCCINATO SÓDICO DE HIDROCORTISONA;10/07/2000;2000;GENÉRICO;100430721;01/07/2015;25351011850;GLICOCORTICOIDES SISTEMICOS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CETOPROFENO;13/07/2000;2000;GENÉRICO;100430722;01/07/2025;25351008732;ANTINFLAMATORIOS ANTIREUMATICOS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;CETOPROFENO;MEDICAMENTO
BROMETO DE N- BUTIL ESCOPOLAMINA + DIPIRONA  SÓDICA;17/07/2000;2000;GENÉRICO;102350451;01/06/2005;25351008736;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CIPROFLONAX;20/07/2000;2000;GENÉRICO;141070020;01/07/2025;25000032742;ANTIBIOTICOS SISTEMICOS SIMPLES;02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;VÁLIDO;CLORIDRATO DE CIPROFLOXACINO ;MEDICAMENTO
AMOXICILINA;24/07/2000;2000;GENÉRICO;102350455;01/07/2025;25351014265;PENICILINA DE AMPLO ESPECTRO;57507378000365 - EMS S/A;VÁLIDO;AMOXICILINA TRI-HIDRATADA;MEDICAMENTO
CAPTOPRIL;24/07/2000;2000;GENÉRICO;102350454;01/07/2025;25351014263;ANTI-HIPERTENSIVOS SIMPLES;57507378000365 - EMS S/A;VÁLIDO;CAPTOPRIL;MEDICAMENTO
CEFAZOLINA SÓDICA;24/07/2000;2000;GENÉRICO;100430725;01/07/2010;25351013772;CEFALOSPORINAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
NORFLOXACINO;24/07/2000;2000;GENÉRICO;102350456;01/07/2020;25351014264;ANTIBIOTICOS SISTEMICOS SIMPLES;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
PARACETAMOL;24/07/2000;2000;GENÉRICO;102350453;01/07/2020;25351012198;ANALGESICOS NAO NARCOTICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
ATENOLOL;31/07/2000;2000;GENÉRICO;102350458;01/07/2025;25351014731;BETABLOQUEADORES SIMPLES;57507378000365 - EMS S/A;VÁLIDO;ATENOLOL;MEDICAMENTO
CEFTAZIDIMA;31/07/2000;2000;GENÉRICO;100430726;01/07/2010;25351013023;CEFALOSPORINAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL;31/07/2000;2000;GENÉRICO;102350459;01/07/2025;25351013435;ANTIMICOTICO;57507378000365 - EMS S/A;VÁLIDO;CETOCONAZOL;MEDICAMENTO
METRONIDAZOL;31/07/2000;2000;GENÉRICO;107140232;01/07/2025;25351014221;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;61068755000112 - SANVAL COMÉRCIO E INDÚSTRIA LTDA;VÁLIDO;METRONIDAZOL;MEDICAMENTO
NISTATINA;31/07/2000;2000;GENÉRICO;104650297;01/07/2010;25351013031;ANTIMICOTICO;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SULFAMETOXAZOL + TRIMETOPRIMA;31/07/2000;2000;GENÉRICO;102350460;01/07/2005;25351013433;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
TENOXICAM;31/07/2000;2000;GENÉRICO;102350457;01/07/2005;25351013434;ANTINFLAMATORIOS ANTIREUMATICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
ALBENDAZOL;09/08/2000;2000;GENÉRICO;105530276;01/08/2010;25351015053;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
AMOXICILINA;09/08/2000;2000;GENÉRICO;100430727;01/08/2025;25351011018;PENICILINA DE AMPLO ESPECTRO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;AMOXICILINA TRI-HIDRATADA;MEDICAMENTO
AMOXICILINA;09/08/2000;2000;GENÉRICO;100430728;01/08/2025;25351012022;PENICILINA DE AMPLO ESPECTRO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;AMOXICILINA TRIHIDRATADA;MEDICAMENTO
AMOXICILINA;09/08/2000;2000;GENÉRICO;101810330;01/08/2015;25351013124;PENICILINA DE AMPLO ESPECTRO;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CARBOCISTEÍNA;09/08/2000;2000;GENÉRICO;102350461;01/08/2025;25351015119;EXPECTORANTES BALSAMICOS E MUCOLITICO;57507378000365 - EMS S/A;VÁLIDO;CARBOCISTEÍNA;MEDICAMENTO
CEFALOTINA SÓDICA;09/08/2000;2000;GENÉRICO;100430729;01/08/2015;25351010297;CEFALOSPORINAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE AMBROXOL;09/08/2000;2000;GENÉRICO;104650298;01/08/2010;25351014553;EXPECTORANTES BALSAMICOS E MUCOLITICO;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE BIPERIDENO;09/08/2000;2000;GENÉRICO;105530274;01/08/2010;25351015054;ANTIPARKINSONIANOS;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE DILTIAZEM;09/08/2000;2000;GENÉRICO;102350463;01/08/2005;25351014545;ANTIANGINOSOS E VASODILATADORES;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
